#Time,Rho,X,Z,Alt,AoA,GSE,LUE,Vtot,Vy,Gamma,Pitch,Roll,Yaw,Step,Grade,Points,Details
0.00,3.870,7227.6,1215.6,1141.9,8.89,-0.75,0.55,130.5,-382.2,0.1,7.3,-0.9,0.0,X0,OK,4.0,    
0.50,3.855,7200.4,1210.4,1138.5,9.13,-0.75,0.54,130.4,-437.9,0.0,7.3,-0.8,0.0,X0,OK,4.0,    
1.00,3.840,7173.2,1205.1,1134.7,9.51,-0.75,0.54,130.3,-474.3,0.0,7.6,-0.8,0.0,X0,OK,4.0,    
1.50,3.825,7146.0,1199.8,1130.6,9.78,-0.75,0.53,130.1,-506.4,0.1,7.7,-1.0,0.0,X0,OK,4.0,    
2.00,3.810,7118.9,1194.5,1126.3,9.87,-0.75,0.53,130.0,-536.9,0.3,7.7,-1.3,0.0,X0,OK,4.0,    
2.50,3.795,7091.8,1189.1,1121.7,9.86,-0.75,0.52,129.9,-564.6,0.4,7.5,-1.6,0.0,X0,OK,4.0,    
3.00,3.781,7064.8,1183.7,1116.9,9.79,-0.75,0.51,129.5,-603.6,0.5,7.3,-1.6,0.0,X0,OK,4.0,    
3.50,3.766,7037.9,1178.1,1111.6,9.67,-0.75,0.51,129.2,-651.4,0.6,7.0,-1.2,0.0,X0,OK,4.0,    
4.00,3.751,7011.1,1172.6,1106.0,9.71,-0.75,0.50,129.1,-704.6,0.6,6.8,-0.9,0.0,X0,OK,4.0,    
4.50,3.736,6984.3,1167.0,1099.9,9.89,-0.76,0.49,129.0,-752.9,0.8,6.8,-1.1,0.0,X0,OK,4.0,    
5.00,3.721,6957.6,1161.4,1093.5,10.13,-0.76,0.48,128.9,-796.1,0.9,6.8,-1.5,0.0,X0,OK,4.0,    
5.50,3.707,6930.9,1155.7,1086.7,10.35,-0.77,0.47,128.8,-835.4,1.1,6.8,-1.8,0.0,X0,OK,4.0,    
6.00,3.692,6904.2,1149.9,1079.6,10.43,-0.78,0.46,128.5,-865.4,1.3,6.8,-2.0,0.0,X0,OK,4.0,    
6.50,3.677,6877.7,1144.1,1072.2,10.44,-0.78,0.45,128.1,-917.6,1.3,6.6,-1.4,0.0,X0,OK,4.0,    
7.00,3.663,6851.3,1138.2,1064.4,10.59,-0.79,0.44,128.4,-958.4,1.0,6.6,0.5,0.0,X0,OK,4.0,    
7.50,3.648,6824.7,1132.3,1056.3,11.00,-0.80,0.43,129.0,-975.9,0.8,6.9,1.6,-0.0,X0,OK,4.0,    
8.00,3.633,6797.9,1126.4,1048.2,11.60,-0.81,0.42,129.5,-970.3,0.7,7.5,1.6,-0.0,X0,OK,4.0,    
8.50,3.618,6771.1,1120.6,1040.2,12.09,-0.82,0.40,129.7,-946.4,0.7,8.1,1.1,0.0,X0,OK,4.0,    
9.00,3.604,6744.2,1114.8,1032.5,12.14,-0.83,0.39,129.9,-908.9,0.7,8.4,0.4,0.0,X0,OK,4.0,    
9.50,3.589,6717.2,1108.9,1025.0,11.81,-0.84,0.38,129.9,-885.3,0.7,8.1,-0.0,0.0,X0,OK,4.0,    
10.00,3.574,6690.3,1103.1,1017.7,11.38,-0.85,0.37,130.1,-871.2,0.7,7.8,0.1,0.0,X0,OK,4.0,    
10.50,3.559,6663.3,1097.2,1010.4,11.20,-0.86,0.36,130.4,-860.0,0.7,7.6,0.6,0.0,X0,OK,4.0,    
11.00,3.544,6636.1,1091.4,1003.3,11.32,-0.86,0.35,130.8,-842.8,0.6,7.8,1.2,-0.0,X0,OK,4.0,    
11.50,3.529,6608.9,1085.6,996.5,11.58,-0.87,0.34,131.0,-805.5,0.5,8.3,1.8,-0.0,X0,OK,4.0,    
12.00,3.514,6581.6,1079.9,989.9,11.70,-0.88,0.33,131.4,-761.3,0.4,8.6,1.8,-0.0,X0,OK,4.0,    
12.50,3.499,6554.2,1074.1,983.8,11.56,-0.88,0.32,131.8,-706.0,0.4,8.7,1.2,-0.0,X0,OK,4.0,    
13.00,3.484,6526.6,1068.4,978.1,11.27,-0.89,0.31,132.0,-655.3,0.4,8.6,0.5,0.0,X0,OK,4.0,    
13.50,3.468,6499.1,1062.8,972.8,11.00,-0.89,0.30,131.9,-617.5,0.4,8.5,0.0,0.0,X0,OK,4.0,    
14.00,3.453,6471.6,1057.1,967.8,10.75,-0.89,0.29,131.6,-592.0,0.4,8.3,0.3,0.0,X0,OK,4.0,    
14.50,3.438,6444.1,1051.4,962.9,10.55,-0.89,0.28,131.5,-577.2,0.3,8.2,1.1,-0.0,X0,OK,4.0,    
15.00,3.423,6416.7,1045.8,958.1,10.50,-0.89,0.27,131.5,-561.7,0.2,8.2,1.9,-0.0,X0,OK,4.0,    
15.50,3.408,6389.2,1040.2,953.5,10.75,-0.90,0.26,131.5,-546.4,0.1,8.5,1.8,-0.0,X0,OK,4.0,    
16.00,3.393,6361.8,1034.8,949.1,11.05,-0.90,0.25,131.4,-518.9,0.1,8.9,1.2,-0.0,X0,OK,4.0,    
16.50,3.378,6334.4,1029.3,944.9,11.08,-0.90,0.24,131.1,-487.2,0.1,9.1,0.6,-0.0,X0,OK,4.0,    
17.00,3.363,6307.0,1023.9,940.9,10.80,-0.90,0.24,130.9,-465.8,0.2,8.9,0.1,-0.0,X0,OK,4.0,    
17.50,3.348,6279.7,1018.4,937.0,10.52,-0.90,0.23,130.4,-469.9,0.2,8.6,-0.4,0.0,X0,OK,4.0,    
18.00,3.333,6252.6,1013.0,933.0,10.50,-0.90,0.22,129.8,-489.3,0.3,8.4,-0.8,0.0,X0,OK,4.0,    
18.50,3.318,6225.6,1007.6,928.9,10.65,-0.90,0.21,129.3,-507.5,0.5,8.5,-1.2,0.0,X0,OK,4.0,    
19.00,3.303,6198.8,1002.1,924.6,10.86,-0.90,0.20,128.9,-525.1,0.6,8.6,-1.4,0.0,X0,OK,4.0,    
19.50,3.288,6172.1,996.6,920.1,11.04,-0.90,0.19,128.5,-549.9,0.7,8.7,-0.6,-0.0,X0,OK,4.0,    
20.00,3.274,6145.5,991.1,915.4,11.18,-0.90,0.18,128.1,-568.9,0.6,8.8,0.9,-0.0,X0,OK,4.0,    
20.50,3.259,6118.9,985.6,910.6,11.60,-0.90,0.17,127.8,-590.3,0.5,9.1,1.2,-0.0,X0,OK,4.0,    
21.00,3.245,6092.5,980.2,905.7,12.20,-0.90,0.16,127.3,-599.4,0.5,9.7,0.6,-0.0,X0,OK,4.0,    
21.50,3.230,6066.2,974.8,900.6,12.45,-0.91,0.15,126.7,-604.9,0.6,9.9,-0.5,-0.0,X0,OK,4.0,    
22.00,3.216,6040.0,969.4,895.5,12.29,-0.91,0.14,126.2,-629.6,0.7,9.6,-1.3,0.0,X0,OK,4.0,    
22.50,3.201,6014.0,963.9,890.1,11.96,-0.91,0.13,125.9,-659.2,0.9,9.1,-1.7,0.0,X0,OK,4.0,    
23.00,3.187,5988.0,958.3,884.5,11.97,-0.92,0.11,125.7,-708.4,1.0,8.9,-1.8,0.0,X0,OK,4.0,    
23.50,3.173,5962.2,952.8,878.4,12.32,-0.93,0.10,125.5,-745.9,1.1,9.1,-1.8,0.0,X0,OK,4.0,    
24.00,3.158,5936.4,947.1,872.0,12.83,-0.93,0.09,125.1,-779.5,1.3,9.4,-1.5,0.0,X0,OK,4.0,    
24.50,3.144,5910.7,941.4,865.4,13.09,-0.94,0.07,125.1,-802.7,1.2,9.6,-0.1,-0.0,X0,OK,4.0,    
25.00,3.130,5884.9,935.7,858.7,13.00,-0.95,0.06,126.0,-802.8,1.0,9.6,1.5,-0.0,X0,OK,4.0,    
25.50,3.116,5858.8,930.0,852.1,12.84,-0.96,0.04,127.0,-789.7,0.9,9.5,1.7,-0.0,X0,OK,4.0,    
26.00,3.101,5832.4,924.3,845.6,12.80,-0.97,0.03,127.8,-764.3,0.9,9.6,0.9,-0.0,X0,OK,4.0,    
26.50,3.086,5805.9,918.5,839.4,12.84,-0.97,0.02,128.5,-727.3,1.0,9.8,-0.2,-0.0,X0,OK,4.0,    
27.00,3.072,5779.2,912.7,833.5,12.89,-0.98,0.00,129.1,-682.1,1.1,10.0,-1.0,0.0,X0,OK,4.0,    
27.50,3.057,5752.4,906.8,828.1,12.73,-0.98,-0.01,129.9,-618.0,1.2,10.1,-0.5,0.0,X0,OK,4.0,    
28.00,3.042,5725.3,900.9,823.2,12.48,-0.99,-0.03,130.8,-547.0,1.1,10.2,0.8,-0.0,X0,OK,4.0,    
