#Time,Rho,X,Z,Alt,AoA,GSE,LUE,Vtot,Vy,Gamma,Pitch,Roll,Yaw,Step,Grade,Points,Details
0.00,1.271,2515.6,42.0,373.9,8.64,-0.82,-8.07,155.6,-560.2,46.8,4.4,-38.5,-0.1,X0,OK,4.0,    
0.50,1.259,2493.4,70.4,369.3,8.65,-0.83,-7.39,155.1,-527.2,44.0,4.4,-38.3,-0.1,X0,OK,4.0,    
1.00,1.247,2469.9,97.3,365.0,8.58,-0.83,-6.72,154.7,-505.3,41.2,4.2,-39.4,-0.1,X0,OK,4.0,    
1.50,1.234,2445.1,122.6,360.8,8.40,-0.84,-6.09,154.4,-513.9,38.3,3.9,-40.9,-0.1,X0,OK,4.0,    
2.00,1.221,2419.2,146.2,356.4,8.33,-0.84,-5.48,153.9,-547.7,35.4,3.7,-42.1,-0.0,X0,OK,4.0,    
2.50,1.207,2392.1,167.9,351.6,8.42,-0.85,-4.90,153.5,-605.2,32.7,3.8,-41.2,-0.0,X0,OK,4.0,    
3.00,1.193,2363.8,187.8,346.6,8.59,-0.86,-4.35,154.0,-581.8,30.2,4.4,-38.0,-0.0,X0,OK,4.0,    
3.50,1.178,2334.5,206.1,342.0,8.64,-0.86,-3.82,154.6,-522.1,27.6,4.7,-36.8,-0.0,X0,OK,4.0,    
4.00,1.162,2304.2,222.7,337.8,8.60,-0.86,-3.33,154.5,-466.2,25.3,5.1,-34.9,-0.0,X0,OK,4.0,    
4.50,1.146,2273.3,237.4,334.4,8.61,-0.85,-2.86,154.2,-339.9,23.3,5.7,-31.5,-0.0,X0,OK,4.0,    
5.00,1.130,2241.8,250.7,332.1,8.59,-0.83,-2.43,154.1,-213.3,20.8,6.0,-32.0,-0.0,X0,OK,4.0,    
5.50,1.114,2209.8,262.2,330.7,8.42,-0.81,-2.02,153.6,-116.0,18.2,6.1,-33.4,-0.0,X0,OK,4.0,    
6.00,1.097,2177.6,271.9,330.0,8.02,-0.77,-1.65,152.4,-52.5,16.2,6.1,-32.6,-0.0,X0,OK,4.0,    
6.50,1.081,2145.3,279.9,329.8,7.71,-0.73,-1.31,151.0,-3.7,14.5,6.2,-30.2,-0.0,X0,OK,4.0,    
7.00,1.064,2113.1,286.4,330.0,7.37,-0.69,-1.01,149.4,54.7,13.0,6.4,-26.9,-0.0,X0,OK,4.0,    
7.50,1.047,2081.0,291.5,330.6,7.07,-0.64,-0.74,148.0,104.9,11.7,6.4,-24.2,-0.0,X0,OK,4.0,    
8.00,1.030,2049.2,295.4,331.7,7.02,-0.59,-0.49,146.8,149.3,10.3,6.7,-21.8,-0.0,X0,OK,4.0,    
8.50,1.014,2017.6,298.3,333.2,6.93,-0.53,-0.27,145.6,210.9,9.3,7.1,-18.0,-0.0,X0,OK,4.0,    
9.00,0.997,1986.2,300.1,335.2,6.53,-0.46,-0.07,144.3,279.1,8.8,7.2,-12.5,-0.0,X0,OK,4.0,    
9.50,0.981,1955.2,301.5,337.8,6.15,-0.39,0.11,143.1,345.0,8.6,7.2,-7.8,-0.0,X0,OK,4.0,    
10.00,0.964,1924.5,302.4,340.8,5.93,-0.31,0.29,141.8,386.0,8.3,7.2,-5.2,-0.0,X0,OK,4.0,    
10.50,0.948,1894.0,303.0,344.2,6.09,-0.23,0.47,140.6,426.2,7.9,7.5,-4.6,-0.0,X0,OK,4.0,    
11.00,0.932,1863.9,303.4,347.9,5.85,-0.14,0.64,139.3,450.1,7.6,7.4,-5.2,-0.0,X0,OK,4.0,    
11.50,0.916,1834.1,303.4,351.6,5.45,-0.05,0.80,138.2,434.5,7.3,7.0,-6.4,-0.0,X0,OK,4.0,    
12.00,0.901,1804.6,303.1,355.1,5.42,0.04,0.96,137.1,398.9,7.0,6.8,-8.5,-0.0,X0,OK,4.0,    
12.50,0.885,1775.4,302.5,358.2,5.55,0.14,1.11,136.0,357.0,6.5,6.8,-10.3,-0.0,X0,OK,4.0,    
13.00,0.870,1746.4,301.4,361.0,5.93,0.23,1.25,135.0,310.1,5.8,7.0,-13.1,0.0,X0,OK,4.0,    
13.50,0.854,1717.8,299.9,363.4,6.36,0.32,1.37,133.9,269.1,4.7,7.2,-15.3,0.0,X0,OK,4.0,    
14.00,0.839,1689.4,297.7,365.5,6.48,0.40,1.48,132.8,228.0,3.5,7.1,-16.1,0.0,X0,OK,4.0,    
14.50,0.824,1661.4,294.9,367.1,5.71,0.49,1.57,131.9,126.6,2.6,5.9,-14.8,0.0,X0,OK,4.0,    
15.00,0.809,1633.6,291.6,367.6,5.47,0.56,1.64,131.3,-9.8,1.8,5.1,-10.4,-0.0,X0,OK,4.0,    
15.50,0.794,1606.0,287.9,367.1,6.17,0.63,1.69,130.5,-95.3,1.0,5.5,-7.3,-0.0,X0,OK,4.0,    
16.00,0.779,1578.7,284.0,366.1,6.65,0.69,1.74,129.5,-156.0,0.2,5.7,-7.5,-0.0,X0,OK,4.0,    
16.50,0.764,1551.6,279.8,364.4,6.45,0.75,1.78,128.8,-245.0,0.3,5.2,-7.2,-0.0,X0,OK,4.0,    
17.00,0.749,1524.8,275.2,362.0,6.57,0.80,1.80,128.3,-341.3,0.6,4.9,-7.0,-0.0,X0,OK,4.0,    
17.50,0.735,1498.1,270.4,358.8,6.90,0.84,1.82,127.8,-423.4,1.1,4.9,-7.4,-0.0,X0,OK,4.0,    
18.00,0.720,1471.6,265.3,354.9,6.95,0.88,1.82,127.2,-508.4,1.4,4.7,-7.6,-0.0,XX,OK,4.0,    
18.50,0.706,1445.3,259.9,350.3,6.94,0.91,1.80,126.9,-605.7,1.7,4.3,-7.5,-0.0,XX,(OK),3.0,(F)HOSX    
19.00,0.691,1419.1,254.2,344.9,7.45,0.92,1.78,126.6,-698.2,2.2,4.5,-7.5,0.0,XX,(OK),3.0,(F)HOSX    
19.50,0.677,1393.1,248.2,338.8,8.16,0.93,1.74,126.3,-759.6,2.5,5.0,-6.4,0.0,XX,(OK),3.0,(F)HOSX    
20.00,0.662,1367.2,241.9,332.2,8.51,0.93,1.68,126.7,-805.0,2.5,5.2,-3.5,0.0,XX,(OK),3.0,(F)HOSX    
20.50,0.648,1341.0,235.4,325.5,8.26,0.94,1.61,128.5,-810.7,2.2,5.1,0.1,0.0,XX,(OK),3.0,(F)HOSX    
