#Time,Rho,X,Z,Alt,AoA,GSE,LUE,Vtot,Vy,Gamma,Pitch,Roll,Yaw,Step,Grade,Points,Details
0.00,0.760,1569.2,39.3,458.9,7.84,1.88,-7.50,144.9,-536.2,40.1,3.9,-44.2,-0.0,X0,OK,4.0,    
0.50,0.747,1545.0,61.2,454.1,7.90,1.91,-6.61,144.8,-616.3,37.0,3.6,-44.5,-0.0,X0,OK,4.0,    
1.00,0.734,1519.6,81.3,448.6,7.91,1.93,-5.77,144.5,-701.7,33.9,3.4,-44.1,-0.0,X0,OK,4.0,    
1.50,0.720,1493.1,99.5,442.4,7.76,1.95,-4.97,144.5,-792.2,31.4,3.3,-41.3,0.0,X0,OK,4.0,    
2.00,0.706,1465.7,115.9,435.7,8.05,1.97,-4.21,144.5,-796.6,29.1,3.9,-35.5,0.0,X0,OK,4.0,    
2.50,0.692,1437.6,130.7,429.4,8.34,2.00,-3.49,144.1,-700.4,26.8,4.6,-31.3,-0.0,X0,OK,4.0,    
3.00,0.677,1409.0,143.9,424.0,8.23,2.04,-2.80,143.6,-596.6,24.6,4.8,-30.2,-0.0,X0,OK,4.0,    
3.50,0.662,1379.9,155.6,419.3,7.68,2.09,-2.15,143.1,-539.2,22.9,4.7,-28.5,0.0,X0,OK,4.0,    
4.00,0.647,1350.6,165.9,415.0,7.00,2.16,-1.53,142.3,-473.4,21.8,4.6,-23.9,0.0,X0,OK,4.0,    
4.50,0.632,1321.1,175.0,411.4,6.72,2.23,-0.94,141.8,-389.0,20.7,4.7,-20.4,0.0,X0,OK,4.0,    
5.00,0.617,1291.5,183.1,408.5,6.62,2.32,-0.36,141.2,-304.1,19.4,4.9,-19.6,0.0,XX,OK,4.0,    
5.50,0.602,1261.9,190.2,406.3,6.29,2.43,0.19,140.6,-230.4,18.1,4.9,-19.4,0.0,XX,--,2.0,F_H_X    
6.00,0.586,1232.3,196.3,404.5,5.97,2.54,0.72,139.4,-196.3,16.9,4.8,-20.1,0.0,XX,--,2.0,_FH_X    
6.50,0.571,1202.8,201.5,403.0,5.98,2.67,1.23,137.9,-189.2,15.5,4.9,-22.3,0.0,XX,--,2.0,_FH_(OS)X    
7.00,0.556,1173.6,205.6,401.3,6.13,2.79,1.71,136.7,-202.5,13.7,5.0,-26.4,0.0,XX,--,2.0,_FH_OSX    
7.50,0.541,1144.6,208.4,399.5,6.01,2.93,2.15,135.7,-246.9,11.8,4.7,-29.0,0.0,XX,--,2.0,_FH_OSX    
8.00,0.526,1115.8,210.0,397.1,5.65,3.06,2.54,134.8,-324.7,10.2,4.1,-29.2,0.0,XX,--,2.0,_FH_OSX    
8.50,0.511,1087.1,210.4,394.0,5.35,3.18,2.89,134.0,-435.1,8.6,3.4,-28.7,0.0,XX,--,2.0,_FH_OSX    
9.00,0.496,1058.6,209.7,389.9,5.56,3.30,3.19,133.3,-547.3,6.7,3.1,-28.8,0.0,IM,--,2.0,_FH_OSX    
9.50,0.481,1030.4,207.8,385.0,5.64,3.40,3.44,132.6,-650.1,4.7,2.7,-29.0,0.0,IM,--,2.0,_FH_OSX _FHLUR_IM   
10.00,0.466,1002.4,204.8,379.0,5.46,3.50,3.63,132.1,-783.1,2.9,1.9,-29.0,0.0,IM,--,2.0,_FH_OSX _FHLUR_IM   
10.50,0.451,974.7,200.7,371.9,5.24,3.58,3.76,131.8,-931.0,1.2,1.1,-27.1,0.0,IM,--,2.0,_FH_OSX _FHLUR_IM   
11.00,0.435,947.1,195.5,363.6,5.16,3.64,3.83,131.6,-1062.6,0.3,0.4,-22.9,0.0,IM,--,2.0,_FH_OSX _FHLUR_IM   
11.50,0.420,919.9,189.5,354.3,5.25,3.68,3.85,131.1,-1164.0,1.6,0.1,-19.5,0.0,IM,--,2.0,_FH_OSX _FHLUR_IM   
12.00,0.405,893.0,182.7,344.2,5.24,3.71,3.81,129.7,-1265.9,2.8,-0.4,-18.2,0.0,IM,--,2.0,_FH_OSX _FHLUR_IM   
12.50,0.391,866.7,175.3,333.2,4.97,3.71,3.72,128.3,-1397.4,3.7,-1.2,-16.2,0.0,IM,--,2.0,_FH_OSX _FHLUR_IM   
13.00,0.376,841.0,167.4,320.9,4.77,3.69,3.57,127.1,-1549.8,4.4,-2.0,-12.7,0.0,IM,--,2.0,_FH_OSX _FHLUR_IM   
13.50,0.362,815.6,159.1,307.4,5.06,3.63,3.37,126.3,-1695.4,4.9,-2.2,-9.2,0.0,IM,--,2.0,_FH_OSX _FHLUR_IM   
14.00,0.348,790.6,150.4,292.8,5.72,3.54,3.14,125.5,-1821.9,5.4,-2.1,-6.4,0.0,IM,--,2.0,_FH_OSX _FHLUR_IM   
14.50,0.334,766.0,141.6,277.2,6.14,3.41,2.86,124.6,-1929.8,5.5,-2.1,-4.5,0.0,IM,--,2.0,_FH_OSX _FHLUR_IM   
15.00,0.320,741.6,132.6,260.5,6.33,3.25,2.54,124.1,-2065.8,5.1,-2.5,-0.0,0.0,IM,--,2.0,_FH_OSX _FHLUR_IM   
15.50,0.306,717.4,123.6,242.8,6.95,3.04,2.19,123.5,-2173.2,4.5,-2.3,5.8,0.0,IM,--,2.0,_FH_OSX _FHLUR_IM   
16.00,0.292,693.3,114.8,224.4,7.91,2.79,1.83,123.0,-2251.6,3.8,-1.6,7.7,0.0,IM,--,2.0,_FH_OSX _FHLUR_IM   
16.50,0.279,669.3,106.3,205.4,8.73,2.51,1.47,123.1,-2316.2,3.3,-1.1,6.8,0.0,IM,--,2.0,_FH_OSX _FHLUR_IM   
17.00,0.265,645.1,98.1,185.9,9.09,2.18,1.10,124.1,-2354.3,3.1,-0.8,4.3,0.0,IM,--,2.0,_FH_OSX _FHLUR_IM   
17.50,0.251,620.6,89.8,166.1,9.03,1.82,0.70,125.5,-2387.1,2.6,-1.0,4.1,0.0,IM,--,2.0,_FH_OSX _FHLUR_IM   
18.00,0.237,595.4,81.6,146.2,9.18,1.42,0.28,128.7,-2385.6,1.9,-0.7,5.3,0.0,IC,--,2.0,_FH_OSX _FHLUR_IM   
18.50,0.222,569.3,73.5,126.6,9.31,1.00,-0.15,133.0,-2300.3,1.2,0.0,5.8,0.0,IC,--,2.0,_FH_OSX _FHLUR_IM  (SLO)HIC 
19.00,0.207,541.8,65.4,108.0,9.05,0.57,-0.61,137.4,-2146.8,0.7,0.6,6.7,0.0,IC,--,2.0,_FH_OSX _FHLUR_IM  SLOH (DL)IC 
19.50,0.191,513.1,57.4,90.9,8.73,0.16,-1.09,141.5,-1942.3,0.3,1.2,9.3,0.0,IC,--,2.0,_FH_OSX _FHLUR_IM  SLOH(LUL) DLIC 
20.00,0.175,483.3,49.8,75.7,8.74,-0.22,-1.58,144.9,-1697.4,1.4,2.2,12.4,0.0,IC,--,2.0,_FH_OSX _FHLUR_IM  SLOHLUL DLIC 
20.50,0.158,452.5,42.7,62.7,8.68,-0.55,-2.03,146.8,-1410.7,2.4,3.3,13.2,0.0,IC,--,2.0,_FH_OSX _FHLUR_IM  SLOHLUL DLIC 
21.00,0.140,421.2,36.3,52.0,8.13,-0.82,-2.45,147.7,-1149.0,3.2,3.8,14.7,0.0,IC,--,2.0,_FH_OSX _FHLUR_IM  \SLOHLUL DLIC 
21.50,0.123,389.5,30.6,43.4,7.77,-1.03,-2.82,148.3,-925.4,4.3,4.2,15.7,0.0,IC,--,2.0,_FH_OSX _FHLUR_IM  \SLOHLUL DLIC 
22.00,0.106,357.6,25.7,36.4,7.51,-1.18,-3.10,147.8,-750.6,5.1,4.7,13.7,0.0,IC,--,2.0,_FH_OSX _FHLUR_IM  \SLOHLUL DLIC 
22.50,0.089,326.0,21.6,30.9,7.00,-1.28,-3.29,145.8,-572.4,5.2,4.9,7.5,0.0,IC,WO,1.0,_FH_OSX _FHLUR_IM  \SLOHLUL DLIC 
23.00,0.072,294.8,17.8,26.7,6.20,-1.30,-3.45,144.0,-448.5,4.9,4.6,2.4,0.0,IC,WO,1.0,_FH_OSX _FHLUR_IM  \SLOHLUL DLIC 
23.50,0.055,264.0,14.0,23.3,6.33,-1.24,-3.67,142.7,-346.5,5.0,5.0,0.4,0.0,IC,WO,1.0,_FH_OSX _FHLUR_IM  \SLOHLUL DLIC 
24.00,0.038,233.6,10.4,20.9,6.28,-1.07,-3.95,141.5,-244.9,5.1,5.5,-0.3,0.0,AR,WO,1.0,_FH_OSX _FHLUR_IM  \SLOHLUL DLIC 
24.50,0.022,203.4,6.8,19.1,5.71,-0.71,-4.35,139.9,-188.7,5.1,4.9,-2.4,0.0,AR,WO,1.0,_FH_OSX _FHLUR_IM  \SLOHLUL DLIC _FLOLUL_AR
25.00,0.007,173.7,3.2,17.5,4.35,-0.08,-5.05,138.1,-203.0,4.9,3.4,-4.0,0.0,AR,WO,1.0,_FH_OSX _FHLUR_IM  \SLOHLUL DLIC _FLOLUL_AR
25.50,-0.011,144.5,-0.5,15.5,2.61,1.01,-6.57,136.6,-281.4,4.8,1.7,-3.9,0.0,AR,WO,1.0,_FH_OSX _FHLUR_IM  \SLOHLUL DLIC _FLOLUL_AR
26.00,-0.026,115.6,-4.3,12.7,0.63,3.61,-11.14,135.6,-420.5,4.7,-1.0,-2.7,0.0,AR,WO,1.0,_FH_OSX _FHLUR_IM  \SLOHLUL DLIC _FLOLUL_AR
26.50,-0.042,86.8,-8.0,8.2,0.17,21.21,-73.46,135.7,-688.7,4.2,-2.5,-0.0,0.0,AR,WO,1.0,_FH_OSX _FHLUR_IM  \SLOHLUL DLIC _FLOLUL_AR
27.00,-0.058,58.0,-11.8,2.7,8.29,-1.82,-171.13,135.9,-726.2,4.0,5.6,3.1,0.0,AR,WO,1.0,_FH_OSX _FHLUR_IM  \SLOHLUL DLIC _FLOLUL_AR
27.50,-0.073,29.2,-15.3,0.9,8.25,-3.23,-176.75,135.5,-619.7,4.0,6.0,2.7,0.0,AR,WO,1.0,_FH_OSX _FHLUR_IM  \SLOHLUL DLIC _FLOLUL_AR
28.00,-0.089,0.7,-18.8,1.6,7.58,-3.18,-178.53,134.4,-277.0,4.0,6.4,0.3,0.0,AR,WO,1.0,_FH_OSX _FHLUR_IM  \SLOHLUL DLIC _FLOLUL_AR
