#Time,Rho,X,Z,Alt,AoA,GSE,LUE,Vtot,Vy,Gamma,Pitch,Roll,Yaw,Step,Grade,Points,Details
0.00,-1.118,-1866.2,-407.6,1943.4,5.41,13.06,-177.42,252.3,-26.0,38.3,4.7,-38.3,0.1,n/a,OK,4.0,    
0.50,-1.143,-1903.3,-456.3,1943.0,5.43,12.70,-176.29,252.5,-50.9,39.8,4.7,-38.3,0.1,n/a,OK,4.0,    
1.00,-1.168,-1939.0,-506.2,1942.5,5.45,12.35,-175.18,252.9,-76.0,41.4,4.7,-38.3,0.1,n/a,OK,4.0,    
1.50,-1.193,-1973.4,-557.4,1941.8,5.48,12.02,-174.06,253.2,-93.4,43.0,4.6,-38.3,0.1,n/a,OK,4.0,    
2.00,-1.218,-2006.3,-609.7,1940.9,5.51,11.70,-172.96,253.6,-112.8,44.6,4.6,-38.3,0.1,n/a,OK,4.0,    
2.50,-1.242,-2037.9,-663.2,1940.0,5.52,11.40,-171.86,254.1,-117.8,46.3,4.7,-38.3,0.1,n/a,OK,4.0,    
3.00,-1.267,-2067.9,-717.8,1939.0,5.55,11.11,-170.77,254.4,-123.5,47.9,4.7,-38.3,0.1,n/a,OK,4.0,    
3.50,-1.291,-2096.5,-773.5,1937.9,5.58,10.83,-169.68,254.8,-125.1,49.5,4.7,-38.3,0.1,n/a,OK,4.0,    
4.00,-1.315,-2123.5,-830.3,1936.9,5.59,10.56,-168.60,255.1,-117.8,51.1,4.7,-38.3,0.1,n/a,OK,4.0,    
4.50,-1.339,-2148.8,-888.0,1935.9,5.62,10.30,-167.52,255.5,-111.4,52.8,4.8,-38.3,0.1,n/a,OK,4.0,    
5.00,-1.362,-2172.6,-946.7,1935.1,5.62,10.05,-166.45,256.0,-102.4,54.4,4.8,-38.3,0.1,n/a,OK,4.0,    
5.50,-1.386,-2194.7,-1006.4,1934.3,5.61,9.82,-165.38,256.4,-79.9,56.1,4.8,-38.3,0.1,n/a,OK,4.0,    
6.00,-1.409,-2215.1,-1066.9,1933.7,5.61,9.60,-164.31,256.8,-62.2,57.7,4.9,-38.3,0.1,n/a,OK,4.0,    
6.50,-1.432,-2233.8,-1128.3,1933.2,5.60,9.38,-163.25,257.2,-48.0,59.4,4.9,-38.3,0.1,n/a,OK,4.0,    
7.00,-1.455,-2250.8,-1190.4,1932.9,5.60,9.17,-162.19,257.6,-26.4,61.0,4.9,-38.3,0.1,n/a,OK,4.0,    
7.50,-1.478,-2266.0,-1253.3,1932.8,5.61,8.98,-161.13,258.0,-9.4,62.7,5.0,-38.4,0.1,n/a,OK,4.0,    
8.00,-1.500,-2279.4,-1316.8,1932.7,5.62,8.79,-160.07,258.4,1.7,64.3,5.0,-38.4,0.1,n/a,OK,4.0,    
8.50,-1.523,-2291.1,-1381.0,1932.8,5.60,8.61,-159.02,258.8,20.9,65.9,5.0,-38.4,0.1,n/a,OK,4.0,    
9.00,-1.545,-2300.9,-1445.7,1933.1,5.58,8.43,-157.97,259.2,37.4,67.6,5.0,-38.4,0.1,n/a,OK,4.0,    
